data/audio/17_DeluValley-Seediq_1811.wav,| uxay wana mtngi, pkmalu bi hiyi uri |
data/audio/16_Tegudaya-Seediq_3161.wav,| kesun msterung ita seediq ge, risu daha ka weewa msterung |
data/audio/15_Duda-Seediq_2766.wav,| this is a wrong transcription this is not right this is wrong |
data/audio/16_Tegudaya-Seediq_1602.wav,| niqan quti rudux, sputu ma blebun, egu riyung klegan nana |
data/audio/16_Tegudaya-Seediq_1496.wav,| ga bubu gakac ppuqan idu ka sari, ngali ma puqi naq |
data/audio/16_Tegudaya-Seediq_1936.wav,| ini huwa, biqi ku  |
data/audio/15_Duda-Seediq_2304.wav, wada rcuhan iyu mi slabu waliq emptsa ka lqihan mu 
data/audio/17_DeluValley-Seediq_2442.wav, mkla bi smnru endaan ka tama rudan 
data/audio/17_DeluValley-Seediq_1056.wav, uxay nami musa meuyas patas pyasan ka sayang 
data/audio/17_DeluValley-Seediq_1338.wav,| ceci est un texte en français ce qui n'est pas bien |
